"vehicleId","time","assignmentId","assignmentType","heading","latitude","longitude"
8087,"2016-04-21 19:14:38","SE-18","BLOCK_ID",214,38.89231,-77.10156
8087,"2016-04-21 19:15:09","SE-18","BLOCK_ID",241,38.89103,-77.10328
8087,"2016-04-21 19:15:39","SE-18","BLOCK_ID",252,38.89019,-77.1063
8087,"2016-04-21 19:16:10","SE-18","BLOCK_ID",252,38.88869,-77.11253
8087,"2016-04-21 19:16:39","SE-18","BLOCK_ID",211,38.88557,-77.11884
8087,"2016-04-21 19:17:09","SE-18","BLOCK_ID",234,38.88089,-77.12432
8087,"2016-04-21 19:17:40","SE-18","BLOCK_ID",269,38.87947,-77.13176
8087,"2016-04-21 19:18:10","SE-18","BLOCK_ID",293,38.87999,-77.13874
8087,"2016-04-21 19:18:40","SE-18","BLOCK_ID",293,38.88179,-77.14396
8087,"2016-04-21 19:19:10","SE-18","BLOCK_ID",293,38.88336,-77.1485
8087,"2016-04-21 19:19:40","SE-18","BLOCK_ID",293,38.88419,-77.15092
8087,"2016-04-21 19:20:11","SE-18","BLOCK_ID",293,38.88604,-77.15635
8087,"2016-04-21 19:20:41","SE-18","BLOCK_ID",312,38.8891,-77.16289
8087,"2016-04-21 19:21:11","SE-18","BLOCK_ID",317,38.89347,-77.16809
8087,"2016-04-21 19:21:41","SE-18","BLOCK_ID",294,38.89676,-77.17357
8087,"2016-04-21 19:22:12","SE-18","BLOCK_ID",293,38.89944,-77.18114
8087,"2016-04-21 19:22:42","SE-18","BLOCK_ID",339,38.90272,-77.18774
8087,"2016-04-21 19:23:12","SE-18","BLOCK_ID",3,38.90939,-77.18687
8087,"2016-04-21 19:23:42","SE-18","BLOCK_ID",322,38.91511,-77.19035
8087,"2016-04-21 19:24:13","SE-18","BLOCK_ID",333,38.92096,-77.19463
8087,"2016-04-21 19:24:43","SE-18","BLOCK_ID",315,38.92699,-77.19895
8087,"2016-04-21 19:25:13","SE-18","BLOCK_ID",294,38.93081,-77.20623
8087,"2016-04-21 19:25:43","SE-18","BLOCK_ID",294,38.93395,-77.21458
8087,"2016-04-21 19:26:14","SE-18","BLOCK_ID",269,38.93503,-77.22336
8087,"2016-04-21 19:26:44","SE-18","BLOCK_ID",269,38.93427,-77.23186
8087,"2016-04-21 19:27:14","SE-18","BLOCK_ID",276,38.9352,-77.24048
8087,"2016-04-21 19:27:45","SE-18","BLOCK_ID",252,38.93395,-77.24937
8087,"2016-04-21 19:28:15","SE-18","BLOCK_ID",279,38.93273,-77.259
8087,"2016-04-21 19:28:45","SE-18","BLOCK_ID",319,38.93621,-77.26672
8087,"2016-04-21 19:29:15","SE-18","BLOCK_ID",301,38.94114,-77.2729
8087,"2016-04-21 19:29:47","SE-18","BLOCK_ID",277,38.94255,-77.28244
8087,"2016-04-21 19:30:17","SE-18","BLOCK_ID",299,38.94525,-77.29125
8087,"2016-04-21 19:30:47","SE-18","BLOCK_ID",286,38.94753,-77.29775
8087,"2016-04-21 19:31:18","SE-18","BLOCK_ID",279,38.94834,-77.30238
8087,"2016-04-21 19:31:48","SE-18","BLOCK_ID",266,38.94854,-77.30894
8087,"2016-04-21 19:32:18","SE-18","BLOCK_ID",247,38.94678,-77.31705
8087,"2016-04-21 19:32:48","SE-18","BLOCK_ID",265,38.94505,-77.32496
8087,"2016-04-21 19:33:18","SE-18","BLOCK_ID",290,38.94595,-77.33347
8087,"2016-04-21 19:33:48","SE-18","BLOCK_ID",292,38.94841,-77.34093
8087,"2016-04-21 19:34:19","SE-18","BLOCK_ID",289,38.95101,-77.34906
8087,"2016-04-21 19:34:49","SE-18","BLOCK_ID",283,38.95281,-77.35748
8087,"2016-04-21 19:35:19","SE-18","BLOCK_ID",273,38.95367,-77.36607
8087,"2016-04-21 19:35:52","SE-18","BLOCK_ID",272,38.9539,-77.3715
8087,"2016-04-21 19:36:23","SE-18","BLOCK_ID",270,38.95393,-77.37257
8087,"2016-04-21 19:36:55","SE-18","BLOCK_ID",209,38.95314,-77.37443
8087,"2016-04-21 19:37:26","SE-18","BLOCK_ID",207,38.94937,-77.37666
8087,"2016-04-21 19:37:59","SE-18","BLOCK_ID",315,38.94944,-77.37893
8087,"2016-04-21 19:38:25","SE-18","BLOCK_ID",273,38.95056,-77.3828
8087,"2016-04-21 19:38:55","SE-18","BLOCK_ID",2,38.95146,-77.38361
