service_id,date,exception_type
8,20061025,2
8,20061026,2
8,20061027,2
8,20061030,2
8,20061031,2
8,20061101,2
8,20061102,2
8,20061103,2
8,20061106,2
8,20061107,2
8,20061108,2
8,20061109,2
8,20061110,2
8,20061113,2
8,20061114,2
8,20061115,2
8,20061116,2
8,20061117,2
8,20061120,2
8,20061121,2
8,20061122,2
8,20061124,2
8,20061127,2
8,20061128,2
8,20061129,2
8,20061130,2
8,20061201,2
8,20061204,2
8,20061205,2
8,20061206,2
8,20061207,2
8,20061208,2
8,20061211,2
8,20061212,2
8,20061213,2
8,20061214,2
8,20061215,2
8,20061218,2
8,20061219,2
8,20061220,2
8,20061221,2
8,20061222,2
8,20061226,2
8,20061227,2
8,20061228,2
8,20061229,2
8,20070501,2
8,20070502,2
8,20070503,2
8,20070504,2
8,20070507,2
8,20070508,2
8,20070509,2
8,20070510,2
8,20070511,2
8,20070514,2
8,20070515,2
8,20070516,2
8,20070517,2
8,20070518,2
8,20070521,2
8,20070522,2
8,20070523,2
8,20070524,2
8,20070525,2
8,20070529,2
8,20070530,2
8,20070531,2
8,20070601,2
8,20070604,2
8,20070605,2
8,20070606,2
8,20070607,2
8,20070608,2
8,20070611,2
8,20070612,2
8,20070613,2
8,20070614,2
8,20070615,2
8,20070618,2
8,20070619,2
8,20070620,2
8,20070621,2
8,20070622,2
8,20070625,2
8,20070626,2
8,20070627,2
8,20070628,2
8,20070629,2
8,20070702,2
8,20070703,2
8,20070705,2
8,20070706,2
8,20070709,2
8,20070710,2
8,20070711,2
8,20070712,2
8,20070713,2
8,20070716,2
8,20070717,2
8,20070718,2
8,20070719,2
8,20070720,2
8,20070723,2
8,20070724,2
8,20070725,2
8,20070726,2
8,20070727,2
8,20070730,2
8,20070731,2
8,20070801,2
8,20070802,2
8,20070803,2
8,20070806,2
8,20070807,2
8,20070808,2
8,20070809,2
8,20070810,2
8,20070813,2
8,20070814,2
8,20070815,2
8,20070816,2
8,20070817,2
8,20070820,2
8,20070821,2
8,20070822,2
8,20070823,2
8,20070824,2
8,20070827,2
8,20070828,2
8,20070829,2
8,20070830,2
8,20070831,2
8,20070904,2
8,20070905,2
8,20070906,2
8,20070907,2
8,20070910,2
8,20070911,2
8,20070912,2
8,20070913,2
8,20070914,2
8,20070917,2
8,20070918,2
8,20070919,2
8,20070920,2
8,20070921,2
8,20070924,2
8,20070925,2
8,20070926,2
8,20070927,2
8,20070928,2
8,20071001,2
8,20071002,2
8,20071003,2
8,20071004,2
8,20071005,2
8,20071008,2
8,20071009,2
8,20071010,2
8,20071011,2
8,20071012,2
8,20071015,2
8,20071016,2
8,20071017,2
8,20071018,2
8,20071019,2
8,20071022,2
8,20071023,2
8,20071024,2
8,20071025,2
8,20071026,2
8,20071029,2
8,20071030,2
8,20071031,2
8,20071101,2
8,20071102,2
8,20071105,2
8,20071106,2
8,20071107,2
8,20071108,2
8,20071109,2
8,20071112,2
8,20071113,2
8,20071114,2
8,20071115,2
8,20071116,2
8,20071119,2
8,20071120,2
8,20071121,2
8,20071123,2
8,20071126,2
8,20071127,2
8,20071128,2
8,20071129,2
8,20071130,2
8,20071203,2
8,20071204,2
8,20071205,2
8,20071206,2
8,20071207,2
8,20071210,2
8,20071211,2
8,20071212,2
8,20071213,2
8,20071214,2
8,20071217,2
8,20071218,2
8,20071219,2
8,20071220,2
8,20071221,2
8,20071224,2
8,20071226,2
8,20071227,2
8,20071228,2
8,20071231,2
8,20080102,2
8,20080103,2
8,20080104,2
8,20080107,2
8,20080108,2
8,20080109,2
8,20080110,2
8,20080111,2
8,20080114,2
8,20080115,2
8,20080116,2
8,20080117,2
8,20080118,2
8,20080121,2
8,20080122,2
8,20080123,2
8,20080124,2
8,20080125,2
8,20080128,2
8,20080129,2
8,20080130,2
8,20080131,2
8,20080201,2
8,20080204,2
8,20080205,2
8,20080206,2
8,20080207,2
8,20080208,2
8,20080211,2
8,20080212,2
8,20080213,2
8,20080214,2
8,20080215,2
8,20080219,2
8,20080220,2
8,20080221,2
8,20080222,2
8,20080225,2
8,20080226,2
8,20080227,2
8,20080228,2
8,20080229,2
8,20080303,2
8,20080304,2
8,20080305,2
8,20080306,2
8,20080307,2
8,20080310,2
8,20080311,2
8,20080312,2
8,20080313,2
8,20080314,2
8,20080317,2
8,20080318,2
8,20080319,2
8,20080320,2
8,20080321,2
8,20080324,2
8,20080325,2
8,20080326,2
8,20080327,2
8,20080328,2
8,20080331,2
8,20080401,2
8,20080402,2
8,20080403,2
8,20080404,2
8,20080407,2
8,20080408,2
8,20080409,2
8,20080410,2
8,20080411,2
8,20080414,2
8,20080415,2
8,20080416,2
8,20080417,2
8,20080418,2
8,20080421,2
8,20080422,2
8,20080423,2
8,20080424,2
8,20080425,2
8,20080428,2
8,20080429,2
8,20080430,2
8,20080501,2
8,20080502,2
8,20080505,2
8,20080506,2
8,20080507,2
8,20080508,2
8,20080509,2
8,20080512,2
8,20080513,2
8,20080514,2
8,20080515,2
8,20080516,2
8,20080519,2
8,20080520,2
8,20080521,2
8,20080522,2
8,20080523,2
8,20080527,2
8,20080528,2
8,20080529,2
8,20080530,2
8,20080602,2
8,20080603,2
8,20080604,2
8,20080605,2
8,20080606,2
8,20080609,2
8,20080610,2
8,20080611,2
8,20080612,2
8,20080613,2
8,20080616,2
8,20080617,2
8,20080618,2
8,20080619,2
8,20080620,2
8,20080623,2
8,20080624,2
8,20080625,2
8,20080626,2
8,20080627,2
8,20080630,2
8,20080701,2
8,20080702,2
8,20080703,2
8,20080707,2
8,20080708,2
8,20080709,2
8,20080710,2
8,20080711,2
8,20080714,2
8,20080715,2
8,20080716,2
8,20080717,2
8,20080718,2
8,20080721,2
8,20080722,2
8,20080723,2
8,20080724,2
8,20080725,2
8,20080728,2
8,20080729,2
8,20080730,2
8,20080731,2
8,20080801,2
8,20080804,2
8,20080805,2
8,20080806,2
8,20080807,2
8,20080808,2
8,20080811,2
8,20080812,2
8,20080813,2
8,20080814,2
8,20080815,2
8,20080818,2
8,20080819,2
8,20080820,2
8,20080821,2
8,20080822,2
8,20080825,2
8,20080826,2
8,20080827,2
8,20080828,2
8,20080829,2
8,20080902,2
8,20080903,2
8,20080904,2
8,20080905,2
8,20080908,2
8,20080909,2
8,20080910,2
8,20080911,2
8,20080912,2
8,20080915,2
8,20080916,2
8,20080917,2
8,20080918,2
8,20080919,2
8,20080922,2
8,20080923,2
8,20080924,2
8,20080925,2
8,20080926,2
8,20080929,2
8,20080930,2
8,20081001,2
8,20081002,2
8,20081003,2
8,20081006,2
8,20081007,2
8,20081008,2
8,20081009,2
8,20081010,2
8,20081014,2
8,20081015,2
8,20081016,2
8,20081017,2
8,20081020,2
8,20081021,2
8,20081022,2
8,20081023,2
8,20081024,2
8,20081027,2
8,20081028,2
8,20081029,2
8,20081030,2
8,20081031,2
8,20081103,2
8,20081104,2
8,20081105,2
8,20081106,2
8,20081107,2
8,20081110,2
8,20081112,2
8,20081113,2
8,20081114,2
8,20081117,2
8,20081118,2
8,20081119,2
8,20081120,2
8,20081121,2
8,20081124,2
8,20081125,2
8,20081126,2
8,20081128,2
8,20081201,2
8,20081202,2
8,20081203,2
8,20081204,2
8,20081205,2
8,20081208,2
8,20081209,2
8,20081210,2
8,20081211,2
8,20081212,2
8,20081215,2
8,20081216,2
8,20081217,2
8,20081218,2
8,20081219,2
8,20081222,2
8,20081223,2
8,20081224,2
8,20081226,2
8,20081229,2
8,20081230,2
8,20081231,2
8,20090102,2
8,20090105,2
8,20090106,2
8,20090107,2
8,20090108,2
8,20090109,2
8,20090112,2
8,20090113,2
8,20090114,2
8,20090115,2
8,20090116,2
8,20090121,2
8,20090122,2
8,20090123,2
8,20090126,2
8,20090127,2
8,20090128,2
8,20090129,2
8,20090130,2
8,20090202,2
8,20090203,2
8,20090204,2
8,20090205,2
8,20090206,2
8,20090209,2
8,20090210,2
8,20090211,2
8,20090212,2
8,20090213,2
8,20090217,2
8,20090218,2
8,20090219,2
8,20090220,2
8,20090223,2
8,20090224,2
8,20090225,2
8,20090226,2
8,20090227,2
8,20090302,2
8,20090303,2
8,20090304,2
8,20090305,2
8,20090306,2
8,20090309,2
8,20090310,2
8,20090311,2
8,20090312,2
8,20090313,2
8,20090316,2
8,20090317,2
8,20090318,2
8,20090319,2
8,20090320,2
8,20090323,2
8,20090324,2
8,20090325,2
8,20090326,2
8,20090327,2
8,20090330,2
8,20090331,2
8,20090401,2
8,20090402,2
8,20090403,2
8,20090406,2
8,20090407,2
8,20090408,2
8,20090409,2
8,20090410,2
8,20090413,2
8,20090414,2
8,20090415,2
8,20090416,2
8,20090417,2
8,20090420,2
8,20090421,2
8,20090422,2
8,20090423,2
8,20090424,2
8,20090427,2
8,20090428,2
8,20090429,2
8,20090430,2
8,20090501,2
8,20090504,2
8,20090505,2
8,20090506,2
8,20090507,2
