
03:44:30.603 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:240] Started module org.transitime.avl.GtfsRealtimeModule for agencyId=02

03:44:30.604 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:176] Getting data from feed using url=http://realtime.prod.obahart.org:8088/vehicle-positions

03:44:32.771 INFO  thread=GtfsRealtimeModule-1 [o.t.a.AvlExecutor:106] Starting AvlExecutor for directly handling AVL reports via a queue instead of JMS. maxAVLQueueSize=2000 and numberThreads=1

03:44:32.949 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1020, time=06-27-2016 11:44:32.760 BST, location=[28.05996, -82.43464], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=146323, assignmentType=TRIP_ID]

03:44:32.951 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2909, time=06-27-2016 11:44:32.760 BST, location=[28.01023, -82.43477], speed=13.0m/s, heading=180.0 deg, source=GTFS-rt, assignmentId=146324, assignmentType=TRIP_ID]

03:44:32.953 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2607, time=06-27-2016 11:44:32.760 BST, location=[27.95318, -82.45847], speed=13.0m/s, heading=150.0 deg, source=GTFS-rt, assignmentId=146444, assignmentType=TRIP_ID]

03:44:32.956 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2512, time=06-27-2016 11:44:32.760 BST, location=[28.03260, -82.45937], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=146463, assignmentType=TRIP_ID]

03:44:32.958 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2320, time=06-27-2016 11:44:32.760 BST, location=[27.99566, -82.37308], speed=22.0m/s, heading=360.0 deg, source=GTFS-rt, assignmentId=146661, assignmentType=TRIP_ID]

03:44:32.961 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1515, time=06-27-2016 11:44:32.760 BST, location=[27.96690, -82.46691], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=146662, assignmentType=TRIP_ID]

03:44:32.963 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1021, time=06-27-2016 11:44:32.760 BST, location=[27.94858, -82.52505], speed=16.0m/s, heading=255.0 deg, source=GTFS-rt, assignmentId=146694, assignmentType=TRIP_ID]

03:44:32.965 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2417, time=06-27-2016 11:44:32.760 BST, location=[27.96716, -82.44363], speed=24.0m/s, heading=240.0 deg, source=GTFS-rt, assignmentId=146695, assignmentType=TRIP_ID]

03:44:32.968 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2323, time=06-27-2016 11:44:32.760 BST, location=[27.99609, -82.38549], speed=5.0m/s, heading=75.0 deg, source=GTFS-rt, assignmentId=146696, assignmentType=TRIP_ID]

03:44:32.970 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2928, time=06-27-2016 11:44:32.760 BST, location=[28.02983, -82.45653], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=146856, assignmentType=TRIP_ID]

03:44:32.972 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1516, time=06-27-2016 11:44:32.761 BST, location=[28.02620, -82.58282], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=146876, assignmentType=TRIP_ID]

03:44:32.975 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1022, time=06-27-2016 11:44:32.761 BST, location=[27.86945, -82.51865], speed=12.0m/s, heading=180.0 deg, source=GTFS-rt, assignmentId=147558, assignmentType=TRIP_ID]

